0,1,2
马吉德·侯赛尼,伊朗,come_from
奥米德·诺拉夫坎,沙巴罕,work_for
奥米德·诺拉夫坎,后卫,play_the_role_of
奥米德·诺拉夫坎,伊朗,come_from
萨利赫·哈达尼,德黑兰独立,work_for
萨利赫·哈达尼,后卫,play_the_role_of
萨利赫·哈达尼,伊朗,come_from
阿博法兹·贾拉利,德黑兰独立,work_for
阿博法兹·贾拉利,后卫,play_the_role_of
阿博法兹·贾拉利,伊朗,come_from
奥米德·伊布拉希米,艾华卡拉,work_for
奥米德·伊布拉希米,中场,play_the_role_of
奥米德·伊布拉希米,伊朗,come_from
赛义德·埃扎托拉希,维积利足,work_for
赛义德·埃扎托拉希,中场,play_the_role_of
赛义德·埃扎托拉希,伊朗,come_from
萨曼·格多斯,布伦特福德,work_for
萨曼·格多斯,中场,play_the_role_of
萨曼·格多斯,伊朗,come_from
米拉德·萨尔拉克,柏斯波利斯,work_for
米拉德·萨尔拉克,中场,play_the_role_of
米拉德·萨尔拉克,伊朗,come_from
瓦希德·阿米里,波斯波利斯,work_for
瓦希德·阿米里,中场,play_the_role_of
瓦希德·阿米里,伊朗,come_from
艾哈迈德·诺罗拉希,青年国民杜拜,work_for
艾哈迈德·诺罗拉希,中场,play_the_role_of
艾哈迈德·诺罗拉希,伊朗,come_from
阿里列沙·查汉巴殊,飞燕诺,work_for
阿里列沙·查汉巴殊,前锋,play_the_role_of
阿里列沙·查汉巴殊,伊朗,come_from
卡里姆·安萨里法德,奥摩尼亚,work_for
卡里姆·安萨里法德,前锋,play_the_role_of
卡里姆·安萨里法德,伊朗,come_from
迈赫迪·塔雷米,波尔图,work_for
迈赫迪·塔雷米,前锋,play_the_role_of
迈赫迪·塔雷米,伊朗,come_from
阿里·戈利扎代,皇家沙勒罗瓦,work_for
阿里·戈利扎代,前锋,play_the_role_of
阿里·戈利扎代,伊朗,come_from
萨尔达尔·阿兹蒙,勒沃库森足球俱乐部,work_for
萨尔达尔·阿兹蒙,前锋,play_the_role_of
萨尔达尔·阿兹蒙,伊朗,come_from
洛里斯,热刺,work_for
洛里斯,门将,play_the_role_of
洛里斯,法国,come_from
曼丹达,马赛,work_for
曼丹达,门将,play_the_role_of
曼丹达,法国,come_from
阿雷奥拉,西汉姆联,work_for
阿雷奥拉,门将,play_the_role_of
阿雷奥拉,法国,come_from
帕瓦尔,拜仁慕尼黑,work_for
帕瓦尔,后卫,play_the_role_of
帕瓦尔,法国,come_from
阿素·迪沙斯,摩纳哥,work_for
阿素·迪沙斯,后卫,play_the_role_of
阿素·迪沙斯,法国,come_from
瓦拉内,曼联,work_for
瓦拉内,后卫,play_the_role_of
瓦拉内,法国,come_from
孔德,巴塞罗那,work_for
孔德,后卫,play_the_role_of
孔德,法国,come_from
萨利巴,阿仙奴,work_for
萨利巴,后卫,play_the_role_of
萨利巴,法国,come_from
于帕梅卡诺,拜仁慕尼黑,work_for
于帕梅卡诺,后卫,play_the_role_of
于帕梅卡诺,法国,come_from
卢卡斯·埃尔南德斯,拜仁慕尼黑,work_for
卢卡斯·埃尔南德斯,后卫,play_the_role_of
卢卡斯·埃尔南德斯,法国,come_from
特奥·埃尔南德斯,AC米兰,work_for
特奥·埃尔南德斯,后卫,play_the_role_of
特奥·埃尔南德斯,法国,come_from
科纳特,利物浦,work_for
科纳特,后卫,play_the_role_of
科纳特,法国,come_from
贡多齐,马赛,work_for
贡多齐,中场,play_the_role_of
贡多齐,法国,come_from
赤瓦门尼,皇家马德里,work_for
赤瓦门尼,中场,play_the_role_of
赤瓦门尼,法国,come_from
优素福·福法纳,摩纳哥,work_for
优素福·福法纳,中场,play_the_role_of
优素福·福法纳,法国,come_from
拉比奥特,尤文图斯,work_for
拉比奥特,中场,play_the_role_of
拉比奥特,法国,come_from
韦勒图,马赛,work_for
韦勒图,中场,play_the_role_of
韦勒图,法国,come_from
卡马文加,皇家马德里,work_for
卡马文加,中场,play_the_role_of
卡马文加,法国,come_from
格里兹曼,马德里竞技,work_for
格里兹曼,前锋,play_the_role_of
格里兹曼,法国,come_from
吉鲁,AC米兰,work_for
吉鲁,前锋,play_the_role_of
吉鲁,法国,come_from
姆巴佩,巴黎圣日耳曼,work_for
姆巴佩,前锋,play_the_role_of
姆巴佩,法国,come_from
登贝莱,巴塞罗那,work_for
登贝莱,前锋,play_the_role_of
登贝莱,法国,come_from
科洛·穆阿尼,法兰克福,work_for
科洛·穆阿尼,前锋,play_the_role_of
科洛·穆阿尼,法国,come_from
科曼,拜仁慕尼黑,work_for
科曼,前锋,play_the_role_of
科曼,法国,come_from
图拉姆,门兴格拉德巴赫,work_for
图拉姆,前锋,play_the_role_of
图拉姆,法国,come_from
金承奎,艾沙比,work_for
金承奎,门将,play_the_role_of
金承奎,韩国,come_from
宋范根,全北现代汽车,work_for
宋范根,门将,play_the_role_of
宋范根,韩国,come_from
赵贤祐,蔚山现代,work_for
赵贤祐,门将,play_the_role_of
赵贤祐,韩国,come_from
尹钟奎,FC首尔,work_for
尹钟奎,后卫,play_the_role_of
尹钟奎,韩国,come_from
金珍洙,全北现代汽车,work_for
金珍洙,后卫,play_the_role_of
金珍洙,韩国,come_from
金玟哉,那不勒斯,work_for
金玟哉,后卫,play_the_role_of
金玟哉,韩国,come_from
洪喆,大邱FC,work_for
洪喆,后卫,play_the_role_of
洪喆,韩国,come_from
金文焕,全北现代汽车,work_for
金文焕,后卫,play_the_role_of
金文焕,韩国,come_from
金英权,蔚山现代,work_for
金英权,后卫,play_the_role_of
金英权,韩国,come_from
权敬原,大阪飞脚,work_for
权敬原,后卫,play_the_role_of
权敬原,韩国,come_from
金太焕,蔚山现代,work_for
金太焕,后卫,play_the_role_of
金太焕,韩国,come_from
曺侑珉,大田韩亚市民,work_for
曺侑珉,后卫,play_the_role_of
曺侑珉,韩国,come_from
郑又荣,艾萨德,work_for
郑又荣,中场,play_the_role_of
郑又荣,韩国,come_from
黄仁范,奥林匹亚科斯,work_for
黄仁范,中场,play_the_role_of
黄仁范,韩国,come_from
孙兴慜,热刺,work_for
孙兴慜,中场,play_the_role_of
孙兴慜,韩国,come_from
白升浩,全北现代汽车,work_for
白升浩,中场,play_the_role_of
白升浩,韩国,come_from
李在城,缅恩斯,work_for
李在城,中场,play_the_role_of
李在城,韩国,come_from
黄喜灿,狼队,work_for
黄喜灿,中场,play_the_role_of
黄喜灿,韩国,come_from
孙准浩,山东泰山,work_for
孙准浩,中场,play_the_role_of
孙准浩,韩国,come_from
罗相浩,FC首尔,work_for
罗相浩,中场,play_the_role_of
罗相浩,韩国,come_from
李刚仁,马略卡,work_for
李刚仁,中场,play_the_role_of
李刚仁,韩国,come_from
权昶勋,金泉尚武,work_for
权昶勋,中场,play_the_role_of
