date,company,price
2019-06-10,SNAP,13.770000457763672
2019-06-10,ETSY,65.30999755859375
2019-06-11,FB,178.10000610351562
2019-06-11,TWTR,37.209999084472656
2019-06-11,PINS,26.479999542236328
2019-06-11,SNAP,13.539999961853027
2019-06-11,ETSY,67.18000030517578
2019-06-12,FB,175.0399932861328
2019-06-12,TWTR,37.4900016784668
2019-06-12,PINS,27.049999237060547
2019-06-12,SNAP,13.75
2019-06-12,ETSY,69.16999816894531
2019-06-13,FB,177.47000122070312
2019-06-13,TWTR,36.34000015258789
2019-06-13,PINS,26.950000762939453
2019-06-13,SNAP,14.109999656677246
2019-06-13,ETSY,70.05000305175781
2019-06-14,FB,181.3300018310547
2019-06-14,TWTR,36.150001525878906
2019-06-14,PINS,27.40999984741211
2019-06-14,SNAP,13.960000038146973
2019-06-14,ETSY,67.80000305175781
2019-06-17,FB,189.00999450683597
2019-06-17,TWTR,36.43999862670898
2019-06-17,PINS,27.850000381469727
2019-06-17,SNAP,13.550000190734863
2019-06-17,ETSY,68.45999908447266
2019-06-18,FB,188.47000122070312
2019-06-18,TWTR,36.650001525878906
2019-06-18,PINS,28.799999237060547
2019-06-18,SNAP,14.859999656677246
2019-06-18,ETSY,66.94999694824219
2019-06-19,FB,187.47999572753903
2019-06-19,TWTR,36.290000915527344
2019-06-19,PINS,28.09000015258789
2019-06-19,SNAP,14.670000076293944
2019-06-19,ETSY,68.13999938964844
2019-06-20,FB,189.52999877929688
2019-06-20,TWTR,35.439998626708984
2019-06-20,PINS,27.540000915527344
2019-06-20,SNAP,14.84000015258789
2019-06-20,ETSY,68.83000183105469
2019-06-21,FB,191.13999938964844
2019-06-21,TWTR,35.02000045776367
2019-06-21,PINS,27.979999542236328
2019-06-21,SNAP,14.5600004196167
2019-06-21,ETSY,65.77999877929688
2019-06-24,FB,192.6000061035156
2019-06-24,TWTR,35.58000183105469
2019-06-24,PINS,26.690000534057617
2019-06-24,SNAP,14.760000228881836
2019-06-24,ETSY,63.93000030517578
2019-06-25,FB,188.83999633789065
2019-06-25,TWTR,34.720001220703125
2019-06-25,PINS,26.13999938964844
2019-06-25,SNAP,14.529999732971191
2019-06-25,ETSY,61.790000915527344
2019-06-26,FB,187.66000366210935
2019-06-26,TWTR,35.220001220703125
2019-06-26,PINS,26.229999542236328
2019-06-26,SNAP,14.710000038146973
2019-06-26,ETSY,60.36000061035156
2019-06-27,FB,189.5
2019-06-27,TWTR,34.75
2019-06-27,PINS,27.229999542236328
2019-06-27,SNAP,14.579999923706056
2019-06-27,ETSY,62.36000061035156
2019-06-28,FB,193.0
2019-06-28,TWTR,34.900001525878906
2019-06-28,PINS,27.21999931335449
2019-06-28,SNAP,14.300000190734863
2019-06-28,ETSY,61.369998931884766
2019-07-01,FB,193.0
2019-07-01,TWTR,36.08000183105469
2019-07-01,PINS,26.68000030517578
2019-07-01,SNAP,14.350000381469728
2019-07-01,ETSY,62.060001373291016
2019-07-02,FB,195.0
2019-07-02,TWTR,36.220001220703125
2019-07-02,PINS,26.90999984741211
2019-07-02,SNAP,14.100000381469728
2019-07-02,ETSY,62.63999938964844
2019-07-03,FB,197.1999969482422
2019-07-03,TWTR,36.02000045776367
2019-07-03,PINS,27.46999931335449
2019-07-03,SNAP,14.760000228881836
2019-07-03,ETSY,64.27999877929688
2019-07-05,FB,196.3999938964844
2019-07-05,TWTR,36.25
2019-07-05,PINS,27.25
2019-07-05,SNAP,15.229999542236328
2019-07-05,ETSY,63.380001068115234
2019-07-08,FB,195.75999450683597
2019-07-08,TWTR,36.45000076293945
2019-07-08,PINS,26.770000457763672
2019-07-08,SNAP,15.140000343322754
2019-07-08,ETSY,64.01000213623047
2019-07-09,FB,199.2100067138672
2019-07-09,TWTR,37.650001525878906
2019-07-09,PINS,26.71999931335449
2019-07-09,SNAP,15.25
2019-07-09,ETSY,66.86000061035156
2019-07-10,FB,202.72999572753903
2019-07-10,TWTR,37.470001220703125
2019-07-10,PINS,26.57999992370605
2019-07-10,SNAP,15.260000228881836
2019-07-10,ETSY,66.44999694824219
2019-07-11,FB,201.22999572753903
2019-07-11,TWTR,37.209999084472656
2019-07-11,PINS,26.100000381469727
2019-07-11,SNAP,15.56999969482422
2019-07-11,ETSY,64.98999786376953
2019-07-12,FB,204.8699951171875
2019-07-12,TWTR,37.84000015258789
2019-07-12,PINS,26.40999984741211
2019-07-12,SNAP,15.609999656677246
2019-07-12,ETSY,64.5999984741211
2019-07-15,FB,203.91000366210935
2019-07-15,TWTR,38.68000030517578
2019-07-15,PINS,26.670000076293945
2019-07-15,SNAP,15.5
2019-07-15,ETSY,65.55000305175781
2019-07-16,FB,203.83999633789065
2019-07-16,TWTR,37.9900016784668
2019-07-16,PINS,26.51000022888184
2019-07-16,SNAP,15.0
2019-07-16,ETSY,64.20999908447266
2019-07-17,FB,201.8000030517578
2019-07-17,TWTR,37.70000076293945
2019-07-17,PINS,25.90999984741211
2019-07-17,SNAP,14.93000030517578
2019-07-17,ETSY,63.41999816894531
2019-07-18,FB,200.77999877929688
2019-07-18,TWTR,37.65999984741211
2019-07-18,PINS,25.780000686645508
2019-07-18,SNAP,14.550000190734863
2019-07-18,ETSY,65.19999694824219
2019-07-19,FB,198.3600006103516
2019-07-19,TWTR,36.77000045776367
2019-07-19,PINS,25.559999465942383
2019-07-19,SNAP,14.020000457763672
2019-07-19,ETSY,65.8499984741211
2019-07-22,FB,202.32000732421875
2019-07-22,TWTR,37.58000183105469
2019-07-22,PINS,26.21999931335449
2019-07-22,SNAP,14.149999618530272
2019-07-22,ETSY,68.52999877929688
2019-07-23,FB,202.3600006103516
2019-07-23,TWTR,37.900001525878906
2019-07-23,PINS,26.780000686645508
2019-07-23,SNAP,14.829999923706056
2019-07-23,ETSY,67.81999969482422
2019-07-24,FB,204.66000366210935
2019-07-24,TWTR,38.72999954223633
2019-07-24,PINS,27.81999969482422
2019-07-24,SNAP,17.610000610351562
2019-07-24,ETSY,68.05000305175781
2019-07-25,FB,200.7100067138672
2019-07-25,TWTR,38.119998931884766
2019-07-25,PINS,27.59000015258789
2019-07-25,SNAP,17.690000534057617
2019-07-25,ETSY,68.7300033569336
2019-07-26,FB,199.75
2019-07-26,TWTR,41.52000045776367
2019-07-26,PINS,27.63999938964844
2019-07-26,SNAP,17.889999389648438
2019-07-26,ETSY,70.86000061035156
2019-07-29,FB,195.94000244140625
2019-07-29,TWTR,41.5
2019-07-29,PINS,27.86000061035156
2019-07-29,SNAP,17.5
2019-07-29,ETSY,69.12000274658203
2019-07-30,FB,197.0399932861328
2019-07-30,TWTR,41.0
2019-07-30,PINS,28.6200008392334
2019-07-30,SNAP,16.93000030517578
2019-07-30,ETSY,68.0
2019-07-31,FB,194.22999572753903
2019-07-31,TWTR,42.310001373291016
2019-07-31,PINS,28.989999771118164
2019-07-31,SNAP,16.799999237060547
2019-07-31,ETSY,67.0199966430664
2019-08-01,FB,192.72999572753903
2019-08-01,TWTR,42.08000183105469
2019-08-01,PINS,28.299999237060547
2019-08-01,SNAP,16.68000030517578
2019-08-01,ETSY,68.13999938964844
2019-08-02,FB,189.0200042724609
2019-08-02,TWTR,42.84999847412109
2019-08-02,PINS,33.56999969482422
2019-08-02,SNAP,17.030000686645508
2019-08-02,ETSY,59.709999084472656
2019-08-05,FB,181.72999572753903
2019-08-05,TWTR,40.369998931884766
2019-08-05,PINS,33.720001220703125
2019-08-05,SNAP,16.459999084472656
2019-08-05,ETSY,53.93999862670898
2019-08-06,FB,184.50999450683597
2019-08-06,TWTR,41.31999969482422
2019-08-06,PINS,32.68000030517578
2019-08-06,SNAP,16.290000915527344
2019-08-06,ETSY,55.38999938964844
2019-08-07,FB,185.1499938964844
2019-08-07,TWTR,41.72999954223633
